branch,run_id,run_status,source_kind,manifest_commit,manifest_command,source_path,test,label,category,avg,std,unit,batch,runs,sample_count,sample_values
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SYS_FREE_PAGES,Free Physical Pages,system,32417.0,0.0,pages,1,1,0,
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SYS_TOTAL_PAGES,Total Physical Pages,system,32768.0,0.0,pages,1,1,0,
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,BUDDY_FRAGMENT,Buddy Max Allocation,buddy,16384.0,0.0,kb,1,1,1,16384
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,COW_FULLWRITE,COW Write 100%,cow,26.0,0.0,ticks,20,10,10,"25,26,26,26,26,26,27,27,27,27"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,COW_NO_ACCESS,COW No Access,cow,9.0,0.0,ticks,300,10,10,"8,9,9,9,9,9,9,10,10,10"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,COW_PARTIAL,COW Write 30%,cow,9.0,0.0,ticks,20,10,10,"8,8,8,9,9,9,9,10,11,11"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,COW_READONLY,COW Read Only,cow,10.0,0.0,ticks,300,10,10,"10,10,10,10,10,10,10,10,10,10"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,LAZY_FULL,Lazy Access 100%,lazy,13.0,0.0,ticks,50,10,10,"12,12,13,13,13,13,14,14,14,16"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,LAZY_HALF,Lazy Access 50%,lazy,6.0,0.0,ticks,50,10,10,"5,6,6,6,6,6,6,6,6,6"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,LAZY_SPARSE,Lazy Access 1%,lazy,9.0,0.0,ticks,2400,10,10,"9,9,9,10,10,10,10,10,10,10"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,MMAP_FULL,mmap Access 100%,mmap,12.0,0.0,ticks,50,10,10,"12,12,13,13,13,13,13,13,13,13"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,MMAP_SPARSE,mmap Access 1%,mmap,12.0,1.0,ticks,2400,10,10,"10,10,11,11,12,12,13,13,14,15"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_CONVOY_FCFS,Convoy FCFS,scheduler,20.0,0.0,ticks,4,10,10,"19,20,20,20,20,20,20,20,20,22"
